"","DrugName"
"379","HOMECARE ADALIMUMAB 40MG INJECTION (AMGEVITA) (1)Gain Share"
"380","HOMECARE ADALIMUMAB 40MG INJECTION (AMGEVITA) (1)Gainshare"
"381","HOMECARE ADALIMUMAB 40mg INJECTION (HUMIRA) (1)"
"382","HOMECARE ADALIMUMAB 40mg INJECTION (HUMIRA) (1)Gain Share"
"383","HOMECARE ADALIMUMAB 40mg/0.4ml!PRE-FILLED PEN(2)(HS)"
"384","Homecare Adalimumab Pen"
"385","Homecare Adalimumab Pen (Amgevita) 40 Mg In 0.8Ml Injection"
"386","Homecare Adalimumab Pen (Humira)"
"387","Homecare Adalimumab Pen (Humira) 40 Mg In 0.4Ml Injection"
"388","HOMECARE ADALIMUMAB PREFILLED DEVICE - (HUMIRA) 40"
"389","HOMECARE ADALIMUMAB PREFILLED DEVICE - (HUMIRA) 40 mg Injection"
"390","HOMECARE ADALIMUMAB PREFILLED DEVICE - (HYRIMOZ) 40 mg Injection"
"391","HOMECARE ADALIMUMAB PREFILLED DEVICE - AS PRESCRIPTION 40 mg Injection"
"392","Homecare Adalimumab Syringe"
"393","Homecare Adalimumab Syringe (Amgevita) 20 Mg In 0.4Ml Injection"
"394","Homecare Adalimumab Syringe (Amgevita) 40 Mg In 0.8Ml Injection"
"395","Homecare Adalimumab Syringe (Humira)"
"396","Homecare Adalimumab Syringe (Humira) 40 Mg In 0.4Ml Injection"
"397","HOMECARE ADALIMUMAB!40mg/0.4ml PRE-FILLED PEN (2)"
"398","HOMECARE ADALIMUMAB!40mg/0.4ml PRE-FILLED PEN (2)(STAFF)"
"399","HOMECARE ADALIMUMAB!40mg/0.8mL! PEN (HYRIMOZ)"
"400","HOMECARE ADALIMUMAB!40mg/0.8mL!PEN (AMGEVITA)"
"401","HOMECARE ADALIMUMAB!40mg/0.8mL!PEN (HYRIMOZ) (HS)"
"402","HOMECARE ADALIMUMAB!40mg/0.8mL!PFS (AMGEVITA)"
"403","HOMECARE ADALIMUMAB^ (AMGEVITA) 40 mg Pre-filled P"
"404","HOMECARE ADALIMUMAB^ (HUMIRA)"
"405","HOMECARE ADALIMUMAB^ (HUMIRA) 40 mg Pre-filled Pen"
"406","HOMECARE AMGEVITA (ADALIMUMAB)"
"407","HOMECARE AMGEVITA (ADALIMUMAB) 40 mg Pre-filled pen 2 x 40mg prefilled pen Pack"
"408","HOMECARE AMGEVITA (ADALIMUMAB) 40 mg Pre-filled syringe 2 x 40mg prefilled syringe Pack"
"409","HOMECARE AMGEVITA PEN Adalimumab"
"410","HOMECARE AMGEVITA SYRINGE Adalimumab"
"411","Homecare Charge - ADALIMUMAB_HC"
"412","HOMECARE HUMIRA PEN Adalimumab"
"413","HOMECARE IMRALDI (ADALIMUMAB)"
"414","HOMECARE IMRALDI (ADALIMUMAB) 40 mg Pre-filled pen 2 x 40mg prefilled pen Pack"
"415","HOMECARE IMRALDI (ADALIMUMAB) 40 mg Pre-filled syringe 2 x 40mg prefilled syringe Pack"
"416","HOMECARE IMRALDI PEN Adalimumab"
"417","HOMECARE IMRALDI SYRINGE Adalimumab"
"418","HUMIRA (ADALIMUMAB) (HOMECARE)"
"419","HUMIRA (homecare pen pack) ADALIMUMAB"
"420","HUMIRA (homecare syringe pack) ADALIMUMAB"
"421","Humira(Adalimumab)40MG PEN [2]"
"422","IMRALDI (ADALIMUMAB)"
"423","IMRALDI (HOMECARE PEN PACK) ADALIMUMAB"
"424","IMRALDI (HOMECARE SYRINGE PACK) ADALIMUMAB"
"425","IMRALDI ADALIMUMAB"
"426","Variable HCD - Amgevita Adalimumab (CCG)"
"427","Variable HCD - Amgevita Adalimumab (CCG) - Risk Share"
